Player,Season,Age,BMI,Weight,HeightInch,GamesPlayed,GamesStarted,NumTargets,NumReceptions,CatchPercent,Position,FanPt,FanPtNextSeason,FanPtNextSeason_Center,Age_Center,GamesPlayed_Center,BMI_Center,NumTargets_Center,NumReceptions_Center,CatchPercent_Center,GamesStarted_Center,Weight_Center,HeightInch_Center
Miles Boykin,2019,23,26.8,220,76,16,11,22,13,59.1,WR,37.8,50.6,-48.20000000000001,-3,0,-0.8000000000000007,-71,-46.5,-7.050000000000004,-3,5,1.5
Noah Fant,2019,22,30.3,249,76,16,11,66,40,60.6,TE,71,87.3,-11.500000000000014,-4,0,2.6999999999999993,-27,-19.5,-5.550000000000004,-3,34,1.5
Vance McDonald,2019,29,32.5,267,76,14,14,55,38,69.1,TE,45.5,9.9,-88.9,3,-2,4.899999999999999,-38,-21.5,2.9499999999999886,0,52,1.5
Jonnu Smith,2019,24,31,248,75,16,14,44,35,79.5,TE,69.7,99.2,0.3999999999999915,-2,0,3.3999999999999986,-49,-24.5,13.349999999999994,0,33,0.5
Will Fuller,2019,25,24.3,184,73,11,11,71,49,69,WR,85,135.9,37.099999999999994,-1,-5,-3.3000000000000007,-22,-10.5,2.8499999999999943,-3,-31,-1.5
JuJu Smith-Schuster,2019,23,28.4,215,73,12,12,70,42,60,WR,71.2,137.1,38.29999999999998,-3,-4,0.7999999999999972,-23,-17.5,-6.150000000000006,-2,0,-1.5
Sammy Watkins,2019,26,27.8,211,73,14,13,90,52,57.8,WR,86.5,50.4,-48.40000000000001,0,-2,0.1999999999999993,-3,-7.5,-8.350000000000009,-1,-4,-1.5
Nelson Agholor,2019,26,27.1,200,72,11,10,69,39,56.5,WR,55,137.6,38.79999999999998,0,-5,-0.5,-24,-20.5,-9.650000000000006,-4,-15,-2.5
Christian Kirk,2019,23,27.9,200,71,13,13,108,68,63,WR,100.2,98.4,-0.4000000000000057,-3,-3,0.29999999999999716,15,8.5,-3.1500000000000057,-1,-15,-3.5
Sterling Shepard,2019,26,28.4,198,70,10,10,83,57,68.7,WR,84.8,96.5,-2.3000000000000114,0,-6,0.7999999999999972,-10,-2.5,2.549999999999997,-4,-17,-4.5
Greg Olsen,2019,34,30.2,255,77,14,14,82,52,63.4,TE,71.7,29.9,-68.9,8,-2,2.599999999999998,-11,-7.5,-2.750000000000007,0,40,2.5
Nick Boyle,2019,26,32.9,270,76,16,15,43,31,72.1,TE,44.1,23.3,-75.50000000000001,0,0,5.299999999999997,-50,-28.5,5.949999999999989,1,55,1.5
Marquez Valdes-Scantling,2019,25,25.1,206,76,16,10,56,26,46.4,WR,58.1,104.3,5.499999999999986,-1,0,-2.5,-37,-33.5,-19.750000000000007,-4,-9,1.5
